county_name,Permits,population,permit_ratio
Cannon,137.0,15063,9.095133771493062
Cheatham,263.0,42254,6.2242627916883615
Davidson,3065.0,712334,4.302756852824658
Dickson,460.0,56729,8.108727458619049
Hickman,118.0,25826,4.569038952993108
Macon,168.0,26793,6.270294479901467
Maury,1529.0,110760,13.804622607439509
Robertson,924.0,76776,12.035010940919038
Rutherford,2875.0,367101,7.831632166624443
Smith,134.0,20538,6.524491187067874
Sumner,1635.0,207994,7.860803677029145
Trousdale,92.0,12271,7.497351479097058
Williamson,1598.0,264460,6.04250170158058
Wilson,1749.0,163674,10.685875581949484
